Rank,Release Group,Worldwide,Domestic,Foreign,filename,year,Domestic %,Foreign %
1,Avengers: Endgame,2799439100,858373000,1941066100,2019.csv,2019.0,0.30662320891352846,0.6933767910864715
2,Avatar: The Way of Water,2320250281,684075767,1636174514,2022.csv,2022.0,0.2948284383808679,0.7051715616191321
3,Star Wars: Episode VII - The Force Awakens,2068223624,936662225,1131561399,2015.csv,2015.0,0.4528824707980417,0.5471175292019583
4,Avengers: Infinity War,2048359754,678815482,1369544272,2018.csv,2018.0,0.3313946589091205,0.6686053410908794
5,Spider-Man: No Way Home,1912233593,804793477,1107440116,2021.csv,2021.0,0.4208656724503009,0.5791343275496991
6,Jurassic World,1670400637,652270625,1018130012,2015.csv,2015.0,0.39048753368022093,0.6095124663197791
7,The Lion King,1656943394,543638043,1113305351,2019.csv,2019.0,0.32809693135479556,0.6719030686452044
8,Furious 7,1515047671,353007020,1162040651,2015.csv,2015.0,0.23300060239490641,0.7669993976050936
9,Top Gun: Maverick,1495696292,718732821,776963471,2022.csv,2022.0,0.48053393248634196,0.5194660675136581
10,Frozen II,1450026933,477373578,972653355,2019.csv,2019.0,0.329217042205105,0.6707829577948949
11,Barbie,1445638421,636238421,809400000,2023.csv,2023.0,0.440108959306637,0.5598910406933629
12,Avengers: Age of Ultron,1402805868,459005868,943800000,2015.csv,2015.0,0.3272055517235689,0.6727944482764311
13,The Super Mario Bros. Movie,1361956191,574934330,787021861,2023.csv,2023.0,0.42213863691009135,0.5778613630899087
14,Black Panther,1346913161,700059566,646853595,2018.csv,2018.0,0.5197510769589992,0.4802489230410007
15,Star Wars: Episode VIII - The Last Jedi,1332539889,620181382,712358507,2017.csv,2017.0,0.465412995978239,0.5345870040217611
16,Jurassic World: Fallen Kingdom,1308467944,417719760,890748184,2018.csv,2018.0,0.3192434036427567,0.6807565963572433
17,Beauty and the Beast,1263521126,504014165,759506961,2017.csv,2017.0,0.3988965080430321,0.6011034919569679
18,Incredibles 2,1242805359,608581744,634223615,2018.csv,2018.0,0.48968387494698595,0.510316125053014
19,The Fate of the Furious,1236005118,226008385,1009996733,2017.csv,2017.0,0.1828539232634472,0.8171460767365528
20,Minions,1159398397,336045770,823352627,2015.csv,2015.0,0.28984494964762314,0.7101550503523768
21,Captain America: Civil War,1153296293,408084349,745211944,2016.csv,2016.0,0.35384172434862754,0.6461582756513724
22,Aquaman,1151961807,335061807,816900000,2018.csv,2018.0,0.29086190615345636,0.7091380938465437
23,Spider-Man: Far from Home,1131927996,390532085,741395911,2019.csv,2019.0,0.345014953583673,0.654985046416327
24,Captain Marvel,1128274794,426829839,701444955,2019.csv,2019.0,0.3783030882811692,0.6216969117188308
25,Transformers: Age of Extinction,1104054072,245439076,858614996,2014.csv,2014.0,0.22230711540729683,0.7776928845927031
26,Joker,1078751311,335451311,743300000,2019.csv,2019.0,0.31096259868183834,0.6890374013181616
27,Star Wars: Episode IX - The Rise of Skywalker,1074144248,515202542,558941706,2019.csv,2019.0,0.4796399952420543,0.5203600047579457
28,Toy Story 4,1073394593,434038008,639356585,2019.csv,2019.0,0.4043601587249657,0.5956398412750342
29,Rogue One: A Star Wars Story,1056057273,532177324,523879949,2016.csv,2016.0,0.5039284682810948,0.49607153171890517
30,Aladdin,1050693953,355559216,695134737,2019.csv,2019.0,0.3384041708670612,0.6615958291329388
31,Despicable Me 3,1034799409,264624300,770175109,2017.csv,2017.0,0.2557252136969475,0.7442747863030524
32,Finding Dory,1028570889,486295561,542275328,2016.csv,2016.0,0.47278759898871686,0.5272124010112832
33,Zootopia,1023784195,341268248,682515947,2016.csv,2016.0,0.3333400238709487,0.6666599761290513
34,Jurassic World Dominion,1001978080,376851080,625127000,2022.csv,2022.0,0.3761071100477567,0.6238928899522432
35,The Jungle Book,966550600,364001123,602549477,2016.csv,2016.0,0.3765981036067848,0.6234018963932152
36,Jumanji: Welcome to the Jungle,962077546,404515480,557562066,2017.csv,2017.0,0.42046036900231326,0.5795396309976868
37,Oppenheimer,957503905,328931905,628572000,2023.csv,2023.0,0.34353061463493456,0.6564693853650654
38,The Hobbit: The Battle of the Five Armies,956019788,255119788,700900000,2014.csv,2014.0,0.26685617934092387,0.7331438206590761
39,Doctor Strange in the Multiverse of Madness,955775804,411331607,544444197,2022.csv,2022.0,0.43036411392561263,0.5696358860743874
40,Minions: The Rise of Gru,940203765,370270765,569933000,2022.csv,2022.0,0.3938197003497428,0.6061802996502572
41,Bohemian Rhapsody,903655259,216428042,687227217,2018.csv,2018.0,0.23950288546929155,0.7604971145307085
42,The Battle at Lake Changjin,902548476,342411,902206065,2021.csv,2021.0,0.0003793823923093079,0.9996206176076907
